id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases
,,,,,,,,,,,,,,,,,,,,1,,Меню,1
,,,,,,,,,,,,,,,,,,,,2,,Хедер,1
,,,,,,,,,,,,,,,,,,,,3,,"Меню кофе",1
,,,,,,,,,,,,,,,,,,,,4,3,"Карточка с кофе",1
,,,,,,,,,,,,,,,,,,,,5,3,"Попап с карточкой кофе",1
,,,,,,,,,,,,,,,,,,,,6,,Галерея,1
,,,,,,,,,,,,,,,,,,,,7,6,"Слайдер галереи",1
,,,,,,,,,,,,,,,,,,,,8,,Отзывы,1
,,,,,,,,,,,,,,,,,,,,9,,Блог,1
,,,,,,,,,,,,,,,,,,,,10,9,"Карточки блога",1
,,,,,,,,,,,,,,,,,,,,11,,"Бронирование столика",1
,,,,,,,,,,,,,,,,,,,,12,11,"Форма бронирования",1
,,,,,,,,,,,,,,,,,,,,13,,Футер,1
,,,,,,,,,,,,,,,,,,,,14,13,Соцсети,1
1,"Переход в блок хедер при клике на таб ""Главная""",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,1,,Меню,
2,"Переход в блок ""О нас""",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,1,,Меню,
3,"Переход в блок ""Меню кофе"" при клике на таб ""Кофе""",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,1,,Меню,
4,"Переход в блок  с отзывами",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,1,,Меню,
5,"Переход в блок с постами",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,1,,Меню,
6,"Тайтл главной страницы: Coffee",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,1,,Меню,
7,"Отображение кнопки ""Начать"" в блоке Хедер",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,2,,Хедер,
8,"Кнопка ""Начать"" ведет в раздел “Меню кофе”.",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,2,,Хедер,
9,"Раздел содержит гипер-ссылку с видео",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,2,,Хедер,
10,"Ссылка ведёт на ютуб с промо-роликом кофейни и описанием кофейни",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,2,,Хедер,
11,"Отображение фоновой картинки с кофе (соответствие макету)",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,2,,Хедер,
12,"Отображение заголовка ""Начни свой день с Coffee""",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,2,,Хедер,
13,"Отображение текста справа от промо-ролика",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,2,,Хедер,
14,"В блоке содержится четыре столбца с карточками",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,3,,"Меню кофе",
15,"Открытие попапа с детальным описанием выбранного напитка",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,3,,"Меню кофе",
16,"В карточке  отображается название напитка",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,4,3,"Карточка с кофе",
17,"В карточке  отображается описание напитка",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,4,3,"Карточка с кофе",
18,"В карточке  отображается стоимость напитка",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,4,3,"Карточка с кофе",
19,"Вид карточки соответствует макету",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,4,3,"Карточка с кофе",
20,"Отображается заголовок, где содержится название напитка, 
0509COFFE-21, шрифт 16 px, цвет черный",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,5,3,"Попап с карточкой кофе",
23,"Заголовок отделен дивайдером от блока описания",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,5,3,"Попап с карточкой кофе",
24,"Блок описания содержит информацию о напитке и рецепте, цвет текста серый",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,5,3,"Попап с карточкой кофе",
26,"В попапе отображается кнопка “Закрыть”, цвет кнопки  – серый, шрифт белого цвета",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,5,3,"Попап с карточкой кофе",
29,"Отображается кнопка ""Заказать"", цвет кнопки синий, шрифт  белого цвета",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,5,3,"Попап с карточкой кофе",
32,"Фон главной страницы заблюрен, если активен попап",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,5,3,"Попап с карточкой кофе",
33,"Блок содержит галерею с фотографиями кофейни и меню",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,6,,Галерея,
34,"При клике на фотографию открывается режим просмотра галереи",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,6,,Галерея,
35,"Затемнение фона и отображение фото по центу при клике на картинку",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,7,6,"Слайдер галереи",
36,"Пагинация под карточкой",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,7,6,"Слайдер галереи",
37,"Закрытие карточки при нажатии на крестик",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,7,6,"Слайдер галереи",
38,"Открытие  карточек, находящаяся слева или справа",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,7,6,"Слайдер галереи",
39,"Отображение имени автора",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,8,,Отзывы,
40,"Отзыв рейтинг заведения  (количество звезд, целое число)",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,8,,Отзывы,
41,"Отображение  комментариев",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,8,,Отзывы,
42,"Счётчики заказов, счастливых клиентов, посетителей и городов присутствия",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,8,,Отзывы,
43,"Заголовок раздела",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,9,,Блог,
44,"Карточки постов (по две в ленте)",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,9,,Блог,
45,"Кнопка “Посмотреть еще…”",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,9,,Блог,
46,"Кнопка “Посмотреть еще” ведет на страницу со всеми постами блога",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,9,,Блог,
47,"Изображение в карточке поста",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,10,9,"Карточки блога",
48,"Теги поста",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,10,9,"Карточки блога",
49,"Название поста",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,10,9,"Карточки блога",
50,"Описание поста",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,10,9,"Карточки блога",
51,"Дата публикации поста",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,10,9,"Карточки блога",
52,"Отправления мессаджа  при нажатии на кнопку ""Забронировать""",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,11,,"Бронирование столика",
53,"Отображение модального окна “Ваш столик на N персон забронирован на время NN часов”.",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,11,,"Бронирование столика",
54,"Чекбоксы поля ""Ваши пожелания"": музыка в кафе, столик на веранде, с животными (можно выбрать всё)",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,11,,"Бронирование столика",
55,"Поле ввода имени (тип text, от 1 до 50 символов, обязательное)",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,12,11,"Форма бронирования",
56,"Поле ввода email (тип email, обязательное)",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,12,11,"Форма бронирования",
57,"Поле ввода номера телефона (тип tel, паттерн: 2[0-9]{3}-[0-9]{3})",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,12,11,"Форма бронирования",
58,"Поле ввода времени (выпадающий список с доступным для бронирования временем)",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,,,,,,12,11,"Форма бронирования",
