id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases
,,,,,,,,,,,,,,,,,,,,1,,Меню,1
,,,,,,,,,,,,,,,,,,,,2,,Хедер,1
,,,,,,,,,,,,,,,,,,,,3,,"Вы найдете кофе на любой вкус",1
,,,,,,,,,,,,,,,,,,,,4,,"Прекрасное рядом",1
,,,,,,,,,,,,,,,,,,,,6,,"Слайде галереи",1
,,,,,,,,,,,,,,,,,,,,7,,Отзывы,1
,,,,,,,,,,,,,,,,,,,,8,,Блог,1
,,,,,,,,,,,,,,,,,,,,9,,"Забронировать столик",1
,,,,,,,,,,,,,,,,,,,,11,9,"Форма бронирования",1
,,,,,,,,,,,,,,,,,,,,10,,Футер,1
1,"Отображение атрибутов раздела меню",,"Открыта главная страница сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Проверить отображение таба ""Главная""
2. Проверить отображение таба ""О нас""
3. Проверить отображение таба ""Кофе""
4. Проверить отображение таба ""Отзывы""
5. Проверить отображение таба ""Блог""
6. Проверить отображение тайтла главной страницы
","1. Таб ""Главная"" отображается в разделе Меню
2. Таб ""О нас"" отображается в разделе Меню
3. Таб ""Кофе"" отображается в разделе Меню
4. Таб ""Отзывы"" отображается в разделе Меню
5. Таб ""Блог"" отображается в разделе Меню
6. Тайтл отображается на главной странице, согласно макету
","1. 
2. 
3. 
4. 
5. 
6. **[https://www.figma.com/file/MzyKqkJD5c8IZAup3STJS0/Projects?node-id=0%3A1](https://www.figma.com/file/MzyKqkJD5c8IZAup3STJS0/Projects?node-id=0%3A1)**
",,,1,,Меню,
2,"Переход в блок хедер",,"Открыта главная страница сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Проскролить до раздела ""Отзывы""
2. Нажать таб ""Главная"" в разделе меню
","1. Отображается раздел ""Отзывы""
2. Происходит переход в блок хедер
","1. 
2. 
",,,1,,Меню,
3,"Переход  с главной страницы в блок ""О нас""",,"Открыта главная страница сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать таб ""О нас"" в разделе меню
","1. Происходит переадресация в блок ""О нас""
","1. 
",,,1,,Меню,
4,"Переход с главной страницы в блок с меню",,"Открыта главная страница сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать таб ""Кофе"" в разделе меню
","1. Происходит переадресация в блок с меню
","1. 
",,,1,,Меню,
5,"Переход с главной страницы в блок ""Отзывы""",,"Открыта главная страница сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать на таб ""Отзывы"" в разделе Меню
","1. Происходит переадресация в блок с отзывами
","1. 
",,,1,,Меню,
6,"Переход с главной страницы в блок ""Блог""",,"Открыта главная страница сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать на таб ""Блог"" в разделе Меню
","1. Происходит переадресация в блок с постами
","1. 
",,,1,,Меню,
7,"Отображение атрибутов раздела хедер",,"Открыт раздел хедер сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Поверить отображение кнопки ""Начать""
2. Проверить отображение окна с промо-роликом
3. Проверить отображение ссылки на Ютуб
4. Проверить отображение блока ""Как мы готовим кофе""
","1. Кнопка ""Начать"" отображается а разделе хедер
2. Окно с промо-роликом отображается
3. Ссылка на Ютуб отображается
4. Блок ""Как мы готовим кофе"" располагается справа от окна с промо-роликом, согласно макету
","1. 
2. 
3. 
4. 
",,,2,,Хедер,
8,"Переход на Ютуб по ссылке",,"Открыт раздел хедер сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать на ссылку ""Посмотреть на YTUBE""
","1. Происходит переход на Ютуб с промо-роликом о кофейне
","1. 
",,,2,,Хедер,
9,"Воспроизведение промо-ролика о кофейне",,"Открыт раздел хедер сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать на кнопку ""Воспроизвести"" на окне с промо-роликом
","1. Воспроизводится видео о кофейне
","1. 
",,,2,,Хедер,
10,"Переход в раздел ""Вы найдете кофе на любой вкус""",,"Открыт раздел хедер сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать на кнопку ""Начать""
","1. Происходит переход в раздел ""Вы найдете кофе на любой вкус""
","1. 
",,,2,,Хедер,
11,"Отображение атрибутов раздела ""Вы найдете кофе на любой вкус""",,"Открыт раздел ""Вы найдете кофе на любой вкус"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Проверить отображение карточек
","1. Карточки отображаются согласно макету, в четыре столбца
","1. **[https://www.figma.com/file/MzyKqkJD5c8IZAup3STJS0/Projects?node-id=0%3A1](https://www.figma.com/file/MzyKqkJD5c8IZAup3STJS0/Projects?node-id=0%3A1)**
",,,3,,"Вы найдете кофе на любой вкус",
12,"Отображение атрибутов карточки напитка",,"Открыт раздел ""Вы найдете кофе на любой вкус"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Поверить отображение названия напитка
2. Поверить отображение описание напитка
3. Поверить отображение стоимости напитка
","1. В карточке отображается название напитка
2. В карточке отображается описание напитка
3. В карточке отображается стоимость напитка
","1. 
2. 
3. 
",,,3,,"Вы найдете кофе на любой вкус",
13,"Открытие попапа с детальным описанием напитка",,"Открыт раздел ""Вы найдете кофе на любой вкус"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать на карточку напитка
","1. Открывается попап с детальным описанием напитка, фон главной страницы заблюрен.
","1. 
",,,3,,"Вы найдете кофе на любой вкус",
14,"Отображение атрибутов попапа с описанием напитка",,"Открыт попап с описанием напитка раздела ""Вы найдете кофе на любой вкус"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Проверить отображения заголовка
2. Проверить отображение дивайдера
3. Поверить отображение блока с описанием напитка и рецептом
4. Проверить отображение кнопки ""Закрыть""
5. Проверить отображение кнопки ""Заказать""
","1. Отображается заголовок, (шрифт 16 px, цвет черный)
2. Заголовок отделен дивайдером от блока описания
3. Отображается блока описания напитка и рецепт (цвет текста - серый)
4. Отображается кнопка “Закрыть” (цвет кнопки – серый, шрифт белого цвета)
5. Отображается кнопка “Заказать” (цвет кнопки – синий, шрифт белого цвета)
","1. 
2. 
3. 
4. 
5. 
",,,3,,"Вы найдете кофе на любой вкус",
15,"Переход в режим просмотра галереи и закрытие режима просмотра",,"Открыт раздел ""Прекрасное рядом"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Проверить отображение галереи с фотографиями
2. Нажать на фотографию из галереи
3. Нажать на крестик в верхнем углу фотографии
","1. Галерея с фотографиями отображается
2. Открывается режим просмотра галереи, фон затемняется по центру отображается выбранная фотография
3. Фотография закрывается
","1. 
2. 
3. 
",,,4,,"Прекрасное рядом",
16,"Функционал пагинации галереи",,"Открыт раздел ""Прекрасное рядом"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать на фотографию из галереи
2. Проверить отображение пагинации
3. Нажать справа от фотографии
4. Нажать слева от фотографии
","1. Открывается режим просмотра галереи
2. Отображается пагинация (позиция выбранной фотографии из N возможных)
3. Открывается фотография находящаяся справа в галерее
4. Открывается фотография находящаяся слева в галерее
","1. 
2. 
3. 
4. 
",,,6,,"Слайде галереи",
17,"Отображение атрибутов отзывов клиентов",,"Открыт раздел ""Отзывы"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Поверить отображение имя автора
2. Проверить отображение рейтинга заведения
3. Проверить отображение текста комментария
","1. Отображается имя автора отзыва
2. Отображается рейтинг заведения (количество звезд, целое число)
3. Отображается текс комментария
","1. 
2. 
3. 
",,,7,,Отзывы,
18,"Отображение счетчиков",,"Открыт раздел ""Отзывы"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Проверить отображение счетчика заказов
2. Проверить отображение счетчика счастливых клиентов
3. Проверить отображение счетчика посетителей
4. Проверить отображение счетчика городов присутствия
","1. Счетчик заказов отображается
2. Счетчик счастливых клиентов отображается
3. Счетчик посетителей отображается
4. Счетчик городов присутствия отображается
","1. 
2. 
3. 
4. 
",,,7,,Отзывы,
