Pезюме,Ключ задачи,Идентификатор задачи,Тип задачи,Статус,Ключ проекта,Название проекта,Тип проекта,Руководитель проекта,Идентификатор руководителя проекта,Описание проекта,Приоритет,Решение,Исполнитель,Идентификатор исполнителя,Автор,Идентификатор автора,Создатель,Идентификатор создателя,Создано,Обновлено,Последний просмотр,Решено,Срок исполнения,Голоса,Описание,Среда,Наблюдатели,Идентификатор наблюдателей,Исходная оценка,Оценка остатка,Затраченное время,КПД (полезная работа/затраченная работа),Суммарная первоначальная оценка,Суммарная оценка остатка,Суммарное затраченое время,Уровень безопасности,Вложение,Пользовательское поле (Actual end),Пользовательское поле (Actual start),Пользовательское поле (Change reason),Пользовательское поле (Change risk),Пользовательское поле (Change type),Пользовательское поле (Epic Color),Пользовательское поле (Epic Link),Пользовательское поле (Epic Name),Пользовательское поле (Epic Status),Пользовательское поле (Impact),Пользовательское поле (Issue color),Пользовательское поле (Locked forms),Пользовательское поле (Open forms),Пользовательское поле (Rank),Пользовательское поле (Request Type),Пользовательское поле (Start date),Пользовательское поле (Story Points),Пользовательское поле (Story point estimate),Пользовательское поле (Submitted forms),Пользовательское поле (Target end),Пользовательское поле (Target start),Пользовательское поле (Team),Пользовательское поле (Total forms),Пользовательское поле ([CHART] Date of First Response),Пользовательское поле (development),Категория статуса
Карта с поинтером  места проведения конференции отсутствует,TL-25,10034,Баг,К выполнению,TL,Test_Lending,software,Ирина Филиппова,60feaa863900e600707691b8,,Highest,,,,Ирина Филиппова,60feaa863900e600707691b8,Ирина Филиппова,60feaa863900e600707691b8,31/июл/22 1:00 PM,31/июл/22 1:00 PM,31/июл/22 1:13 PM,,,0,"*Предусловие:*

Открыт сайт [https://limelab.tech/umeet/|https://limelab.tech/umeet/|smart-link] ,

*Шаги воспроизведения:*

# Проскролить до блока ""Место проведения конференции""

*Ожидаемый результат:*

Карта имеет поинтер места проведения конференции

*Фактический результат:*

Карта с поинтером места проведения конференции отсутствует",Google Chrome версия 103.0.5060.114 Windows 10 версия 21H2,Ирина Филиппова,60feaa863900e600707691b8,,,,,,,,,31/июл/22 1:00 PM;60feaa863900e600707691b8;3-24.png;https://tester190722.atlassian.net/secure/attachment/10025/3-24.png,,,,,,,,,,,,,,0|i0007r:,,,,,,,,,,,,К выполнению
"Часть фотографий блоке ""Галерея"" отсутсвуют",TL-24,10033,Баг,К выполнению,TL,Test_Lending,software,Ирина Филиппова,60feaa863900e600707691b8,,Low,,,,Ирина Филиппова,60feaa863900e600707691b8,Ирина Филиппова,60feaa863900e600707691b8,31/июл/22 12:58 PM,31/июл/22 12:58 PM,31/июл/22 1:13 PM,,,0,"*Предусловие:*

Открыт сайт [https://limelab.tech/umeet/|https://limelab.tech/umeet/|smart-link] ,

*Шаги воспроизведения:*

# Проскролить до блока ""Галерея""

*Ожидаемый результат:*

Отображается фотогалерея с изображениями с предыдущих конференций

*Фактический результат:*

Фотогалерея с изображениями с предыдущих конференций отображается не полностью",Google Chrome версия 103.0.5060.114 Windows 10 версия 21H2,Ирина Филиппова,60feaa863900e600707691b8,,,,,,,,,31/июл/22 12:58 PM;60feaa863900e600707691b8;3-22.png;https://tester190722.atlassian.net/secure/attachment/10024/3-22.png,,,,,,,,,,,,,,0|i0007j:,,,,,,,,,,,,К выполнению
"Заголовок в блоке ""Галерея"" отсутсвует",TL-23,10032,Баг,К выполнению,TL,Test_Lending,software,Ирина Филиппова,60feaa863900e600707691b8,,Lowest,,,,Ирина Филиппова,60feaa863900e600707691b8,Ирина Филиппова,60feaa863900e600707691b8,31/июл/22 12:55 PM,31/июл/22 12:55 PM,31/июл/22 1:13 PM,,,0,"*Предусловие:*

Открыт сайт [https://limelab.tech/umeet/|https://limelab.tech/umeet/|smart-link] ,

*Шаги воспроизведения:*

# Проскролить до блока ""Галерея""

*Ожидаемый результат:*

Блок ""Галерея"" имеет заголовок

*Фактический результат:*

Заголовок в блоке ""Галерея"" отсутсвует",Google Chrome версия 103.0.5060.114 Windows 10 версия 21H2,Ирина Филиппова,60feaa863900e600707691b8,,,,,,,,,31/июл/22 12:55 PM;60feaa863900e600707691b8;3-21.png;https://tester190722.atlassian.net/secure/attachment/10023/3-21.png,,,,,,,,,,,,,,0|i0007b:,,,,,,,,,,,,К выполнению
"Логотипы партнеров в карточке  карусели в блоке ""Партнеры""  отсутствуют",TL-22,10031,Баг,К выполнению,TL,Test_Lending,software,Ирина Филиппова,60feaa863900e600707691b8,,Medium,,,,Ирина Филиппова,60feaa863900e600707691b8,Ирина Филиппова,60feaa863900e600707691b8,31/июл/22 12:54 PM,31/июл/22 12:54 PM,31/июл/22 1:13 PM,,,0,"*Предусловие:*

Открыт сайт [https://limelab.tech/umeet/|https://limelab.tech/umeet/|smart-link] ,

*Шаги воспроизведения:*

# Проскролить до блока ""Партнеры""

*Ожидаемый результат:*

Карточки в каруселе имеет логотипы партнеров

*Фактический результат:*

Логотипы партнеров в карточке карусели отсутствуют",Google Chrome версия 103.0.5060.114 Windows 10 версия 21H2,Ирина Филиппова,60feaa863900e600707691b8,,,,,,,,,31/июл/22 12:54 PM;60feaa863900e600707691b8;3-20.png;https://tester190722.atlassian.net/secure/attachment/10022/3-20.png,,,,,,,,,,,,,,0|i00073:,,,,,,,,,,,,К выполнению
"Карусель в блоке ""Партнеры"" не работает",TL-21,10030,Баг,К выполнению,TL,Test_Lending,software,Ирина Филиппова,60feaa863900e600707691b8,,Medium,,,,Ирина Филиппова,60feaa863900e600707691b8,Ирина Филиппова,60feaa863900e600707691b8,31/июл/22 12:52 PM,31/июл/22 12:52 PM,31/июл/22 1:13 PM,,,0,"*Предусловие:*
Открыт сайт [https://limelab.tech/umeet/|https://limelab.tech/umeet/|smart-link] ,

*Шаги воспроизведения:*

# Проскролить до блока ""Партнеры""

*Ожидаемый результат:*

Карусель""партеры"" в виде карточек работает

*Фактический результат:*

Карусель""партеры"" в виде карточек не работает",Google Chrome версия 103.0.5060.114 Windows 10 версия 21H2,Ирина Филиппова,60feaa863900e600707691b8,,,,,,,,,31/июл/22 12:52 PM;60feaa863900e600707691b8;3-20.png;https://tester190722.atlassian.net/secure/attachment/10021/3-20.png,,,,,,,,,,,,,,0|i0006v:,,,,,,,,,,,,К выполнению
"Кнопка ""Купить билеты""  в блоке ""Стоимость участия "" ведет в хедер лендинга",TL-20,10029,Баг,К выполнению,TL,Test_Lending,software,Ирина Филиппова,60feaa863900e600707691b8,,Highest,,,,Ирина Филиппова,60feaa863900e600707691b8,Ирина Филиппова,60feaa863900e600707691b8,31/июл/22 12:50 PM,31/июл/22 12:50 PM,31/июл/22 1:13 PM,,,0,"*Предусловие:*

1.Нажать на кнопку ""Купить билеты""

*Шаги воспроизведения:*

1.Нажать на кнопку ""Купить билеты""

*Ожидаемый результат:*

Открывается отдельная страница покупки билетов

*Фактический результат:*

Кнопка ""Купить билеты"" ведет в хедер лендинга",Google Chrome версия 103.0.5060.114 Windows 10 версия 21H2,Ирина Филиппова,60feaa863900e600707691b8,,,,,,,,,,,,,,,,,,,,,,,0|i0006n:,,,,,,,,,,,,К выполнению
"Карточка с видом цены Advanced в блоке ""Стоимость участия"" отображается некорректно",TL-19,10028,Баг,К выполнению,TL,Test_Lending,software,Ирина Филиппова,60feaa863900e600707691b8,,High,,,,Ирина Филиппова,60feaa863900e600707691b8,Ирина Филиппова,60feaa863900e600707691b8,31/июл/22 12:48 PM,31/июл/22 12:48 PM,31/июл/22 1:13 PM,,,0,"*Предусловие:*

Открыт сайт [https://limelab.tech/umeet/|https://limelab.tech/umeet/|smart-link] ,

*Шаги воспроизведения:*

# Проскролить до блока ""Стоимость участия""

*Ожидаемый результат:*

Карточка с видом цены Advanced имеет атрибуты: описание и цена.

*Фактический результат:*

Текст заголовока карточки Advanced отображается вертикально, цена некорректная и выходит за пределы карточки",Google Chrome версия 103.0.5060.114 Windows 10 версия 21H2,Ирина Филиппова,60feaa863900e600707691b8,,,,,,,,,31/июл/22 12:47 PM;60feaa863900e600707691b8;3-18.png;https://tester190722.atlassian.net/secure/attachment/10020/3-18.png,,,,,,,,,,,,,,0|i0006f:,,,,,,,,,,,,К выполнению
"Карточка с видом цены Ultimate в блоке ""Стоимость участия"" располагается не в центре",TL-18,10027,Баг,К выполнению,TL,Test_Lending,software,Ирина Филиппова,60feaa863900e600707691b8,,Lowest,,,,Ирина Филиппова,60feaa863900e600707691b8,Ирина Филиппова,60feaa863900e600707691b8,31/июл/22 12:45 PM,31/июл/22 12:45 PM,31/июл/22 1:13 PM,,,0,"*Предусловие:*

Открыт сайт [https://limelab.tech/umeet/|https://limelab.tech/umeet/|smart-link] ,

*Шаги воспроизведения:*

# Проскролить до блока ""Стоимость участия""

*Ожидаемый результат:*

Карточка с видом цены Ultimate в блоке располагается в центре

*Фактический результат:*

Карточка с видом цены Ultimate в блоке располагается справа",Google Chrome версия 103.0.5060.114 Windows 10 версия 21H2,Ирина Филиппова,60feaa863900e600707691b8,,,,,,,,,31/июл/22 12:45 PM;60feaa863900e600707691b8;3-18.png;https://tester190722.atlassian.net/secure/attachment/10019/3-18.png,,,,,,,,,,,,,,0|i00067:,,,,,,,,,,,,К выполнению
"Текст заголовока блока ""Стоимость участия"" отображается не корректно",TL-17,10026,Баг,К выполнению,TL,Test_Lending,software,Ирина Филиппова,60feaa863900e600707691b8,,Lowest,,,,Ирина Филиппова,60feaa863900e600707691b8,Ирина Филиппова,60feaa863900e600707691b8,31/июл/22 12:43 PM,31/июл/22 12:43 PM,31/июл/22 1:13 PM,,,0,"*Предусловие:*

Открыт сайт [https://limelab.tech/umeet/|https://limelab.tech/umeet/|smart-link] ,

*Шаги воспроизведения:*

# Проскролить до блока ""Стоимость участия""

*Ожидаемый результат:*

Заголовок блока ""Стоимость участия"" отображается корректно

*Фактический результат:*

Заголовок блока ""Стоимость участия"" отображается некорректно",Google Chrome версия 103.0.5060.114 Windows 10 версия 21H2,Ирина Филиппова,60feaa863900e600707691b8,,,,,,,,,31/июл/22 12:43 PM;60feaa863900e600707691b8;3-17.png;https://tester190722.atlassian.net/secure/attachment/10018/3-17.png,,,,,,,,,,,,,,0|i0005z:,,,,,,,,,,,,К выполнению
"Атрибуты в карточках доклада в табах дней в  блоке ""Расписание"" отсутствуют",TL-16,10025,Баг,К выполнению,TL,Test_Lending,software,Ирина Филиппова,60feaa863900e600707691b8,,High,,,,Ирина Филиппова,60feaa863900e600707691b8,Ирина Филиппова,60feaa863900e600707691b8,31/июл/22 12:41 PM,31/июл/22 12:41 PM,31/июл/22 1:13 PM,,,0,"*Предусловие:*

Открыт сайт [https://limelab.tech/umeet/|https://limelab.tech/umeet/|smart-link] , блок ""Расписание""

*Шаги воспроизведения:*

# Нажать на первый таб дня конференции

*Ожидаемый результат:*

Карточка доклада содержит: фотографию спикера, название компании, справа от фотографии находится блок с датой и описанием доклада.

*Фактический результат:*

Отсутсвуют фотографии спикера, название компании и блока с датой и описанием доклада в карточках доклада в первом табе дней",Google Chrome версия 103.0.5060.114 Windows 10 версия 21H2,Ирина Филиппова,60feaa863900e600707691b8,,,,,,,,,31/июл/22 12:41 PM;60feaa863900e600707691b8;3-16.png;https://tester190722.atlassian.net/secure/attachment/10017/3-16.png,,,,,,,,,,,,,,0|i0005r:,,,,,,,,,,,,К выполнению
