case_id,title,suite,suite_id,assignee,time_spent_ms,status,finish_time,steps,steps_input_data,steps_expected_result,steps_status,comment,priority,severity,automation,type,tags,step_comments,case_parameter
1,"Отображение поля ""Имя""","Модальное окно",1,Ирина,1000,Passed,"2022-08-02 11:29:58",,,,,,"Not set",Normal,"Not automated",Other,,,
2,"Отображение поля ""Номер карты""","Модальное окно",1,Ирина,15000,Passed,"2022-08-02 11:30:14",,,,,,"Not set",Normal,"Not automated",Other,,,
3,"Отображение поля ""Срок годности месяц""","Модальное окно",1,Ирина,2000,Passed,"2022-08-02 11:30:17",,,,,,"Not set",Normal,"Not automated",Other,,,
4,"Отображение поля ""Срок годности год""","Модальное окно",1,Ирина,1000,Passed,"2022-08-02 11:30:19",,,,,,"Not set",Normal,"Not automated",Other,,,
5,"Отображение поля ""CVC""","Модальное окно",1,Ирина,2000,Passed,"2022-08-02 11:30:22",,,,,,"Not set",Normal,"Not automated",Other,,,
6,"Отображение чекбокса сохранения карты для покупок","Модальное окно",1,Ирина,2000,Passed,"2022-08-02 11:30:26",,,,,,"Not set",Normal,"Not automated",Other,,,
7,"Отображение кнопки ""Оплатить""","Модальное окно",1,Ирина,55000,Passed,"2022-08-02 11:31:22",,,,,,"Not set",Normal,"Not automated",Other,,,
8,"Размер окна 800х900","Модальное окно",1,Ирина,5000,Failed,"2022-08-02 11:33:16",,,,,"Размер окна не соответствует размеру 800х900","Not set",Normal,"Not automated",Other,,,
9,"Фон модального окна розовый","Модальное окно",1,Ирина,13000,Passed,"2022-08-02 11:33:38",,,,,,"Not set",Normal,"Not automated",Other,,,
10,"Тень модального окна","Модальное окно",1,Ирина,16000,Failed,"2022-08-02 11:35:25",,,,,"Тень модального окна отсутствует","Not set",Normal,"Not automated",Other,,,
11,"Плейсхолдер в поле ""Имя""","Модальное окно",1,Ирина,7000,Failed,"2022-08-02 11:36:41",,,,,"Плейсхолдер в поле имя отсутствует","Not set",Normal,"Not automated",Other,,,
12,"Скрытие плейсхолдера при вводе текста в поле ""Имя""","Модальное окно",1,Ирина,7000,Blocked,"2022-08-02 11:39:31",,,,,"Плейсхолдер в поле ""Имя"" отсутствует","Not set",Normal,"Not automated",Other,,,
13,"Крестик при пустом поле ""Ваше имя""","Модальное окно",1,Ирина,13000,Failed,"2022-08-02 11:41:42",,,,,"Изображение шляпы вместо крестика при пустом поле ""Имя""","Not set",Normal,"Not automated",Other,,,
14,"Красная подсветка при пустом поле ""Ваше имя""","Модальное окно",1,Ирина,12000,Passed,"2022-08-02 11:40:07",,,,,,"Not set",Normal,"Not automated",Other,,,
15,"Галочка при заполненном поле ""Ваше имя""","Модальное окно",1,Ирина,27000,Failed,"2022-08-02 11:44:15",,,,,"Изображение ракеты вместо галочки при заполненном поле ""Имя""","Not set",Normal,"Not automated",Other,,,
16,"Зелёная подсветка при заполненном поле ""Ваше имя""","Модальное окно",1,Ирина,5000,Passed,"2022-08-02 11:44:24",,,,,,"Not set",Normal,"Not automated",Other,,,
17,"Иконка карты ""VISA"" если поле ""Номер карты"" соответствует паттерну: 4","Модальное окно",1,Ирина,3172000,Failed,"2022-08-02 12:40:25",,,,,"Иконка карты ""VISA"" не отображается, при вводе в поле ""Номер карты"" паттерна 4","Not set",Normal,"Not automated",Other,,,
18,"Иконка карты ""MASTERCARD"" если поле ""Номер карты"" соответствует паттерну: /^(5|5[1-5]|2|22|222|222[1-9]|2[3-6]|27[0-1]|2720)$/","Модальное окно",1,Ирина,1181000,Failed,"2022-08-03 11:19:36",,,,,"Иконка ""**MASTERCARD""** появляется только при вводе только ""2720"" , при вводе других вариантов паттерна не отображается","Not set",Normal,"Not automated",Other,,,
19,"Иконка карты ""AMERICAN_EXPRESS"" если поле ""Номер карты"" соответствует паттерну: 34, 37","Модальное окно",1,Ирина,4000,Passed,"2022-08-02 13:00:18",,,,,,"Not set",Normal,"Not automated",Other,,,
